SampleID,Condition,Replicate,bamReads,Peaks,PeakCaller,Tissue,Factor
GDB339_ctrl,control,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB339_ctrl_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB339_ctrl_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB418_ctrl,control,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB418_ctrl_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB418_ctrl_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB809_ctrl,control,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB809_ctrl_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB809_ctrl_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB813_ctrl,control,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB813_ctrl_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB813_ctrl_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB374_KS,KS,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB374_KS_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB374_KS_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB380_KS,KS,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB380_KS_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB380_KS_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB425_KS,KS,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB425_KS_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB425_KS_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB447_KS,KS,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB447_KS_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB447_KS_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB587_KS,KS,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB587_KS_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB587_KS_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
GDB598_KS,KS,1,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/GDB598_KS_REP1.mLb.clN.sorted.bam,/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/pipeline/ATAC/results/bwa/merged_library/macs2/broad_peak/GDB598_KS_REP1.mLb.clN_peaks.broadPeak,bed,fibroblast,ATAC
