"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001822","kidney development","18/258","309/18903",2.70273761361585e-07,0.000451546751861441,0.000357849313311478,"PRKX/VANGL2/PODXL/WNT5A/PCSK5/LIF/GPR4/VEGFA/CD24/SDC1/HES1/IL6R/SMO/SOX11/SULF2/RET/GDF6/TCF21",18
"GO:0030323","respiratory tube development","14/258","191/18903",3.87197468435479e-07,0.000451546751861441,0.000357849313311478,"WNT5A/PCSK5/LIF/CELSR1/CEBPA/VEGFA/CCDC40/PDPN/HES1/MMP12/LAMA1/SIM2/SOX11/TCF21",14
"GO:0072001","renal system development","18/258","318/18903",4.12184098165522e-07,0.000451546751861441,0.000357849313311478,"PRKX/VANGL2/PODXL/WNT5A/PCSK5/LIF/GPR4/VEGFA/CD24/SDC1/HES1/IL6R/SMO/SOX11/SULF2/RET/GDF6/TCF21",18
"GO:0001655","urogenital system development","19/258","360/18903",5.67985452782317e-07,0.000451546751861441,0.000357849313311478,"PRKX/VANGL2/PODXL/WNT5A/PCSK5/LIF/GPR4/VEGFA/CD24/SDC1/HES1/IL6R/SMO/SOX11/SULF2/RET/GATA2/GDF6/TCF21",19
"GO:0050920","regulation of chemotaxis","15/258","230/18903",6.65017307601533e-07,0.000451546751861441,0.000357849313311478,"RAC2/ST6GAL1/WNT5A/IL6/MPP1/IL16/MDK/SEMA3F/VEGFA/IL6R/MSTN/CCN3/CMKLR1/ITGA2/PADI2",15
"GO:0060562","epithelial tube morphogenesis","18/258","335/18903",8.78096082587511e-07,0.000462889530825018,0.000366838428273388,"PRKX/VANGL2/PODXL/WNT5A/MDK/CELSR1/VEGFA/LEF1/CCDC40/PRICKLE1/SALL4/HES1/LAMA1/FZD3/SMO/SOX11/RET/TCF21",18
"GO:0009187","cyclic nucleotide metabolic process","7/258","40/18903",1.03233777481297e-06,0.000462889530825018,0.000366838428273388,"GUCY1A2/PDE10A/ADCY2/ADCY1/RORA/GUCY1A1/ADCY5",7
"GO:0002688","regulation of leukocyte chemotaxis","11/258","127/18903",1.36344486251846e-06,0.000462889530825018,0.000366838428273388,"RAC2/WNT5A/IL6/MPP1/MDK/VEGFA/IL6R/MSTN/CCN3/CMKLR1/PADI2",11
"GO:0050900","leukocyte migration","19/258","398/18903",2.52493191309727e-06,0.00071434532041377,0.000566116313147073,"RAC2/WNT5A/ITGA6/IL6/MPP1/IL16/ICAM1/MDK/VEGFA/ROR2/CXCL1/IL6R/MSTN/TNFRSF11A/RET/CCN3/CMKLR1/ITGA2/PADI2",19
"GO:0033627","cell adhesion mediated by integrin","9/258","88/18903",3.19273703452169e-06,0.000833795556323165,0.000660780231598174,"PODXL/ITGA6/LPXN/ICAM1/LIF/CYP1B1/RET/CCN3/ITGA2",9
