"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030323","respiratory tube development","11/151","191/18903",3.94681282012329e-07,0.000509166546811948,0.000405153685290638,"WNT5A/PCSK5/LIF/CELSR1/CEBPA/VEGFA/PDPN/HES1/MMP12/SIM2/SOX11",11
"GO:0009190","cyclic nucleotide biosynthetic process","5/151","22/18903",7.18281235553399e-07,0.000509166546811948,0.000405153685290638,"GUCY1A2/ADCY2/ADCY1/GUCY1A1/ADCY5",5
"GO:0052652","cyclic purine nucleotide metabolic process","5/151","22/18903",7.18281235553399e-07,0.000509166546811948,0.000405153685290638,"GUCY1A2/ADCY2/ADCY1/GUCY1A1/ADCY5",5
"GO:0009187","cyclic nucleotide metabolic process","6/151","40/18903",7.21454547377893e-07,0.000509166546811948,0.000405153685290638,"GUCY1A2/PDE10A/ADCY2/ADCY1/GUCY1A1/ADCY5",6
"GO:0060541","respiratory system development","11/151","211/18903",1.05953236059396e-06,0.000598211970791352,0.000476008854212109,"WNT5A/LIF/CELSR1/CEBPA/VEGFA/LEF1/PDPN/HES1/MMP12/SIM2/SOX11",11
"GO:0001736","establishment of planar polarity","7/151","74/18903",2.07597261721563e-06,0.000837210099771389,0.000666184295509497,"VANGL2/WNT5A/CELSR1/ROR2/INTU/PRICKLE1/FZD3",7
"GO:0007164","establishment of tissue polarity","7/151","74/18903",2.07597261721563e-06,0.000837210099771389,0.000666184295509497,"VANGL2/WNT5A/CELSR1/ROR2/INTU/PRICKLE1/FZD3",7
"GO:0060071","Wnt signaling pathway, planar cell polarity pathway","6/151","53/18903",3.96162107608979e-06,0.00122717539593717,0.00097648723639649,"VANGL2/WNT5A/CELSR1/ROR2/PRICKLE1/FZD3",6
"GO:0035148","tube formation","9/151","155/18903",4.34706126793189e-06,0.00122717539593717,0.00097648723639649,"VANGL2/PODXL/WNT5A/CELSR1/VEGFA/PRICKLE1/SALL4/FZD3/SOX11",9
"GO:0019935","cyclic-nucleotide-mediated signaling","7/151","86/18903",5.72243911341595e-06,0.00143494434296277,0.00114181301261538,"GUCY1A2/PDE10A/ADCY2/ADCY1/EPHA5/PDE11A/GUCY1A1",7
"GO:0021915","neural tube development","9/151","164/18903",6.88853167270663e-06,0.00149587114708083,0.00119029365097619,"VANGL2/WNT5A/CELSR1/INTU/PRICKLE1/SALL4/HES1/FZD3/SOX11",9
"GO:0035567","non-canonical Wnt signaling pathway","6/151","72/18903",2.38004752636793e-05,0.00373270787052037,0.00297018796565448,"VANGL2/WNT5A/CELSR1/ROR2/PRICKLE1/FZD3",6
"GO:0048483","autonomic nervous system development","5/151","48/18903",3.9512833814055e-05,0.00557723649285387,0.00443791512416808,"EGR2/SEMA3F/HES1/FZD3/SOX11",5
"GO:0062009","secondary palate development","4/151","26/18903",5.10118711453915e-05,0.00664323694009005,0.00528615233146976,"WNT5A/LRRC32/LEF1/SOX11",4
"GO:0050767","regulation of neurogenesis","12/151","377/18903",5.17715949989306e-05,0.00664323694009005,0.00528615233146976,"EGR2/WNT5A/IL6/LIF/SEMA3F/VEGFA/LEF1/PTPRD/HES1/ISLR2/FZD3/SOX11",12
"GO:0033627","cell adhesion mediated by integrin","6/151","88/18903",7.43401113654518e-05,0.00817657870636808,0.00650626208005275,"PODXL/ITGA6/LPXN/ICAM1/LIF/CYP1B1",6
"GO:0051960","regulation of nervous system development","13/151","456/18903",7.72620235471773e-05,0.00817657870636808,0.00650626208005275,"EGR2/WNT5A/THBS2/IL6/LIF/SEMA3F/VEGFA/LEF1/PTPRD/HES1/ISLR2/FZD3/SOX11",13
"GO:0051962","positive regulation of nervous system development","10/151","279/18903",8.4130314590844e-05,0.00817657870636808,0.00650626208005275,"EGR2/THBS2/IL6/LIF/VEGFA/PTPRD/HES1/ISLR2/FZD3/SOX11",10
"GO:0048736","appendage development","8/151","178/18903",9.34000048036936e-05,0.00817657870636808,0.00650626208005275,"WNT5A/ITGA6/PCSK5/LEF1/INTU/SALL4/IRF6/SOX11",8
"GO:0060173","limb development","8/151","178/18903",9.34000048036936e-05,0.00817657870636808,0.00650626208005275,"WNT5A/ITGA6/PCSK5/LEF1/INTU/SALL4/IRF6/SOX11",8
"GO:0061005","cell differentiation involved in kidney development","5/151","58/18903",9.91673302221216e-05,0.00817657870636808,0.00650626208005275,"PODXL/LIF/GPR4/CD24/HES1",5
"GO:0050678","regulation of epithelial cell proliferation","12/151","414/18903",0.000125733944685246,0.00959316015801214,0.00763346338430483,"WNT5A/RGCC/VEGFA/VASH2/INTU/HES1/MMP12/IRF6/RAP1GAP/CLDN1/SOX11/APELA",12
"GO:0050673","epithelial cell proliferation","13/151","481/18903",0.000131571242077237,0.00977435832589577,0.0077776462768095,"WNT5A/IL6/RGCC/VEGFA/VASH2/INTU/HES1/MMP12/IRF6/RAP1GAP/CLDN1/SOX11/APELA",13
"GO:0045444","fat cell differentiation","9/151","244/18903",0.000154451023577792,0.0108743067684884,0.00865289656168478,"EGR2/WNT5A/FOXO1/IL6/CEBPA/LAMB3/ADIRF/HES1/CCDC3",9
"GO:0022407","regulation of cell-cell adhesion","13/151","490/18903",0.0001579336087524,0.0108743067684884,0.00865289656168478,"PODXL/WNT5A/IL6/RGCC/FGL2/LRRC32/VEGFA/CD24/LEF1/PDPN/PTPN22/HES1/RASGRP1",13
"GO:1904321","response to forskolin","3/151","14/18903",0.00017050728335735,0.011194001416693,0.00890728378664833,"ADCY2/ADCY1/ADCY5",3
"GO:1904322","cellular response to forskolin","3/151","14/18903",0.00017050728335735,0.011194001416693,0.00890728378664833,"ADCY2/ADCY1/ADCY5",3
"GO:0045598","regulation of fat cell differentiation","7/151","147/18903",0.000180816821554415,0.0116010428920026,0.00923117457409382,"WNT5A/FOXO1/IL6/CEBPA/ADIRF/HES1/CCDC3",7
"GO:0097305","response to alcohol","9/151","253/18903",0.000202476181147145,0.0121614948803913,0.00967713707879076,"NQO1/ST6GAL1/ADCY2/ADCY1/CYP1B1/ADCY5/MSTN/CLDN1/TNFRSF11A",9
"GO:0032943","mononuclear cell proliferation","10/151","312/18903",0.000209406717918355,0.0123157325975732,0.00979986701837213,"RAC2/ST6GAL1/IL6/LRRC32/CD24/LEF1/PTPN22/HES1/SOX11/RASGRP1",10
"GO:0030198","extracellular matrix organization","10/151","318/18903",0.000243943799328769,0.012932195823487,0.0102903987498635,"COLGALT2/IL6/RGCC/LAMB3/CYP1B1/PDPN/MMP12/COL14A1/MMP10/TLL1",10
"GO:0043062","extracellular structure organization","10/151","319/18903",0.000250140272955409,0.012932195823487,0.0102903987498635,"COLGALT2/IL6/RGCC/LAMB3/CYP1B1/PDPN/MMP12/COL14A1/MMP10/TLL1",10
"GO:0045229","external encapsulating structure organization","10/151","321/18903",0.000262929979764675,0.012932195823487,0.0102903987498635,"COLGALT2/IL6/RGCC/LAMB3/CYP1B1/PDPN/MMP12/COL14A1/MMP10/TLL1",10
"GO:0048568","embryonic organ development","12/151","449/18903",0.000265698674375575,0.012932195823487,0.0102903987498635,"VANGL2/WNT5A/PCSK5/LIF/CEBPA/VEGFA/LEF1/VASH2/HES1/FZD3/SOX11/APELA",12
"GO:0061548","ganglion development","3/151","17/18903",0.000312974410516491,0.0149750298455602,0.0119159213566849,"SEMA3F/CYP1B1/FZD3",3
