seqnames,start,end,width,strand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr9,118631185,118631585,401,*,152228,0,Distal Intergenic,9,118592786,118597253,4468,2,105376249,ENST00000770014.1,-33932,NA,LOC105376249,uncharacterized LOC105376249
chr7,136303041,136303441,401,*,138564,0,Promoter (<=1kb),7,136304411,136437444,133034,1,105375523,ENST00000670875.1,-970,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chr8,121464351,121464751,401,*,145501,0,Intron (ENST00000784704.1/ENST00000784704.1, intron 3 of 4),8,121639293,121644406,5114,1,594842,ENST00000518865.6,-174542,ENSG00000248690,HAS2-AS1,HAS2 antisense RNA 1
chr12,100987654,100988054,401,*,35921,0,Promoter (<=1kb),12,100987119,101042381,55263,1,121601,ENST00000549234.1,535,ENSG00000151572,ANO4,anoctamin 4
chr15,95202501,95202901,401,*,52080,0,Intron (ENST00000698309.1/400456, intron 4 of 4),15,95158229,95169864,11636,1,105370991,ENST00000612877.1,44272,NA,LOC105370991,uncharacterized LOC105370991
chr16,51898858,51899258,401,*,54559,0,Distal Intergenic,16,51957291,51994598,37308,2,105371259,ENST00000736031.1,95340,NA,LOC105371259,uncharacterized LOC105371259
chr14,102043585,102043985,401,*,46745,0,Promoter (<=1kb),14,102043325,102044970,1646,1,1778,ENST00000642716.1,260,ENSG00000197102,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
chr2,127560709,127561109,401,*,77821,0,Intron (ENST00000409816.8/4648, intron 2 of 47),2,127535802,127637728,101927,1,4648,ENST00000428314.5,24907,ENSG00000169994,MYO7B,myosin VIIB
chr14,64118026,64118426,401,*,44417,0,Promoter (1-2kb),14,64119430,64122522,3093,1,23224,ENST00000553455.1,-1004,ENSG00000054654,SYNE2,spectrin repeat containing nuclear envelope protein 2
chr20,35947912,35948312,401,*,86437,0,3' UTR,20,35953624,35954502,879,2,51282,ENST00000305978.7,6190,ENSG00000171222,SCAND1,SCAN domain containing 1
chr12,54047240,54047640,401,*,33378,0,Intron (ENST00000303406.4/3221, intron 1 of 3),12,54053835,54056030,2196,1,3221,ENST00000430889.3,-6195,ENSG00000198353,HOXC4,homeobox C4
chr16,49010266,49010666,401,*,54398,0,Distal Intergenic,16,49088285,49114077,25793,2,105371241,ENST00000737824.1,103411,NA,LOC105371241,uncharacterized LOC105371241
chr17,1087767,1088167,401,*,57151,0,Intron (ENST00000302538.10/29, intron 4 of 22),17,1083269,1091776,8508,2,29,ENST00000573325.1,3609,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase
chr4,19831956,19832356,401,*,105326,0,Intron (ENST00000661892.1/105374511, intron 1 of 1),4,19839970,19856610,16641,1,105374511,ENST00000819376.1,-7614,NA,LOC105374511,uncharacterized LOC105374511
chr4,74474362,74474762,401,*,107182,0,Distal Intergenic,4,74448639,74450532,1894,1,374,ENST00000511560.1,25723,ENSG00000109321,AREG,amphiregulin
chr21,37199376,37199776,401,*,89820,0,Exon (ENST00000787142.1/ENST00000787142.1, exon 2 of 3),21,37194453,37197947,3495,1,7267,ENST00000488522.1,4923,ENSG00000182670,TTC3,tetratricopeptide repeat domain 3
chr10,77989068,77989468,401,*,19179,0,Promoter (<=1kb),10,77975162,77988203,13042,2,11128,ENST00000698726.1,-865,ENSG00000148606,POLR3A,RNA polymerase III subunit A
