seqnames,start,end,width,strand,Conc,Conc_KS,Conc_control,Fold,p.value,FDR,GDB374_KS,GDB380_KS,GDB425_KS,GDB447_KS,GDB587_KS,GDB598_KS,GDB339_ctrl,GDB418_ctrl,GDB809_ctrl,GDB813_ctrl
chr14,55913636,55914036,401,*,7.33186406666089,7.9192251726549,5.3100952519542,2.42755383491859,8.42893899485833e-18,1.33203365829646e-12,242.29,346.61,131.87,281.66,277.67,172.26,56.21,27.42,38.03,37.03
chr19,14283881,14284281,401,*,8.69976456554266,9.12900019099381,7.64153209921634,1.37481006121415,1.47826882580932e-16,1.00831147016994e-11,776.46,507.21,470.98,614.18,532.02,458.49,190.32,235.45,186.28,186.67
chr1,3306661,3307061,401,*,7.78534548154271,8.33453518491122,6.07272120423203,2.12590200471484,1.91413989059729e-16,1.00831147016994e-11,257.88,450.96,316.99,421.07,250.11,239.84,36.49,77.54,68.3,86.91
chr13,33214234,33214634,401,*,7.05312377880535,7.49683645955676,5.93235923436883,1.41929337001045,6.15732340726713e-14,2.43261993843458e-09,155.86,176.94,172.83,174.27,175.93,227.92,62.13,44.44,63.65,74.06
chr2,163348145,163348545,401,*,6.21437744621501,6.90552505497231,2.53674864052362,3.40500006026448,1.21359177517454e-13,3.83570243645214e-09,249.37,45.37,40.14,81.01,74.19,229.24,8.88,2.84,6.21,5.29
chr2,234632912,234633312,401,*,6.31162751085155,6.8773684400916,4.47398597686208,2.18255750481117,4.19531316086572e-13,1.10498255687462e-08,110.52,58.98,108.94,143.18,152.61,131.19,14.79,18.91,29.49,25.7
chr9,91887397,91887797,401,*,5.91536577146262,6.55106912628189,3.35436070895983,2.73706072820629,1.30121246163932e-12,2.62949484458081e-08,32.59,180.56,63.07,99.85,91.14,95.41,7.89,8.51,12.42,12.09
chr17,13114589,13114989,401,*,7.38787655312995,7.82775785921593,6.28398846528961,1.38129068449276,1.3311286239185e-12,2.62949484458081e-08,202.62,228.65,280.95,204.41,190.76,255.75,58.18,86.05,103.23,64.24
chr6,1263433,1263833,401,*,6.42832019748711,7.04670959756882,4.08648617912879,2.57029192397922,5.1985633499096e-12,9.12815738610627e-08,157.28,65.33,277.67,123.4,74.19,95.41,10.85,18.91,15.52,22.67
chr5,136001514,136001914,401,*,8.21569954503092,8.68373912600644,6.98176759292814,1.52375169702477,1.10716776048178e-11,1.74966828356696e-07,494.5,308.5,431.66,457.81,451.48,323.33,70.01,168.31,104.01,163.24
