#Name (cmd = mergePeaks /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/bg.clean.pos /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/target.clean..pos -d 500 -cobound 1 -prefix /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/0.944908249731274.2.tmp)	chr	start	end	strand	stat	stat2	/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/down_strict/target.clean..pos
BG14	chr1	25320299	25320698	+	0.000	0.000	2
BG15	chr7	84701687	84702086	+	0.000	0.000	3
BG18	chr6	19705601	19706000	+	0.000	0.000	4
BG23	chr9	81411989	81412388	+	0.000	0.000	5
BG24	chr19	38173334	38173733	+	0.000	0.000	6
BG29	chr1	154741307	154741706	+	0.000	0.000	7
BG30	chr12	100987655	100988054	+	0.000	0.000	8
BG31	chr14	29311950	29312349	+	0.000	0.000	9
BG32	chr14	64118027	64118426	+	0.000	0.000	10
BG35	chr2	127560710	127561109	+	0.000	0.000	11
BG38	chrX	18983	19382	+	0.000	0.000	12
BG45	chr12	121918331	121918730	+	0.000	0.000	13
BG53	chr3	69033478	69033877	+	0.000	0.000	14
BG55	chr19	8635432	8635831	+	0.000	0.000	15
BG59	chr7	136953410	136953809	+	0.000	0.000	16
BG62	chr14	74299008	74299407	+	0.000	0.000	17
BG65	chr17	32569566	32569965	+	0.000	0.000	18
BG67	chr1	25267790	25268189	+	0.000	0.000	19
BG70	chr12	76274795	76275194	+	0.000	0.000	20
BG82	chr8	121464352	121464751	+	0.000	0.000	21
BG83	chr10	77989069	77989468	+	0.000	0.000	22
BG84	chr15	97993232	97993631	+	0.000	0.000	23
BG90	chr2	167192816	167193215	+	0.000	0.000	24
BG92	chr4	14096508	14096907	+	0.000	0.000	25
BG106	chr3	38404330	38404729	+	0.000	0.000	26
BG112	chr10	109430111	109430510	+	0.000	0.000	27
BG118	chr2	46799244	46799643	+	0.000	0.000	28
BG121	chr12	124545477	124545876	+	0.000	0.000	29
BG127	chr4	17165254	17165653	+	0.000	0.000	30
BG140	chr3	69032114	69032513	+	0.000	0.000	31
BG141	chr1	21309273	21309672	+	0.000	0.000	32
BG149	chr10	77873903	77874302	+	0.000	0.000	33
BG151	chr8	42854574	42854973	+	0.000	0.000	34
BG156	chr9	118631186	118631585	+	0.000	0.000	35
BG158	chr3	111712485	111712884	+	0.000	0.000	36
BG162	chr9	22645912	22646311	+	0.000	0.000	37
BG167	chr2	67567304	67567703	+	0.000	0.000	38
BG174	chr11	47241919	47242318	+	0.000	0.000	39
BG181	chr14	21521507	21521906	+	0.000	0.000	40
BG183	chr2	118246746	118247145	+	0.000	0.000	41
BG193	chr5	33513774	33514173	+	0.000	0.000	42
BG194	chrX	41313448	41313847	+	0.000	0.000	43
BG197	chr7	136528307	136528706	+	0.000	0.000	44
BG201	chr2	86888083	86888482	+	0.000	0.000	45
BG202	chr6	34919631	34920030	+	0.000	0.000	46
BG205	chr16	21265468	21265867	+	0.000	0.000	47
BG207	chr5	32109182	32109581	+	0.000	0.000	48
BG211	chr19	28898274	28898673	+	0.000	0.000	49
BG212	chr22	47053790	47054189	+	0.000	0.000	50
BG213	chr4	10129218	10129617	+	0.000	0.000	51
BG215	chr8	133109603	133110002	+	0.000	0.000	52
BG222	chr3	140441025	140441424	+	0.000	0.000	53
BG228	chr7	45236647	45237046	+	0.000	0.000	54
BG229	chr9	3971581	3971980	+	0.000	0.000	55
BG231	chr6	78487454	78487853	+	0.000	0.000	56
BG240	chr4	19831957	19832356	+	0.000	0.000	57
BG241	chr5	53373731	53374130	+	0.000	0.000	58
BG243	chr1	117818463	117818862	+	0.000	0.000	59
BG245	chr14	102043586	102043985	+	0.000	0.000	60
BG254	chr2	41736086	41736485	+	0.000	0.000	61
BG259	chr7	38846243	38846642	+	0.000	0.000	62
BG263	chr20	2859392	2859791	+	0.000	0.000	63
BG269	chr12	100706029	100706428	+	0.000	0.000	64
BG274	chr5	180484386	180484785	+	0.000	0.000	65
BG277	chr10	109374195	109374594	+	0.000	0.000	66
BG278	chr3	143824738	143825137	+	0.000	0.000	67
BG288	chr15	95202502	95202901	+	0.000	0.000	68
