seqnames,start,end,width,strand,Conc,Conc_KS,Conc_control,Fold,p.value,FDR,GDB374_KS,GDB380_KS,GDB425_KS,GDB447_KS,GDB587_KS,GDB598_KS,GDB339_ctrl,GDB418_ctrl,GDB809_ctrl,GDB813_ctrl
chr14,55913636,55914036,401,*,7.32513880619424,7.91100852491053,5.31694806944231,2.41002925848092,2.47966969072491e-17,3.91857241885877e-12,237.39,354.29,132.65,278.78,272.21,168.8,56.49,27.3,38.87,36.79
chr19,14283881,14284281,401,*,8.69111487918236,9.11707762749704,7.64656724735506,1.37352190294221,6.67150810099077e-17,5.27142541091685e-12,760.77,518.45,473.75,607.9,521.56,449.27,191.26,234.39,190.39,185.46
chr1,3306661,3307061,401,*,7.78100510044714,8.32900807392874,6.07688940310617,2.11262768917229,7.09717269425298e-16,3.7385066884247e-11,252.66,460.94,318.85,416.77,245.2,235.02,36.67,77.19,69.81,86.35
chr13,33214234,33214634,401,*,7.04549626052402,7.48609723607993,5.93845659634667,1.41483781369695,1.14103048464266e-13,3.72015779548444e-09,152.71,180.85,173.84,172.49,172.47,223.34,62.43,44.24,65.05,73.58
chr2,163348145,163348545,401,*,6.19371220866678,6.88391502167344,2.54506024069509,3.38953419078676,1.17705653285634e-13,3.72015779548444e-09,244.33,46.37,40.37,80.18,72.73,224.64,8.92,2.82,6.35,5.26
chr2,234632912,234633312,401,*,6.29901363131422,6.86217888444891,4.4816502950053,2.16739377304697,3.78893043473696e-13,9.9792849790102e-09,108.28,60.28,109.58,141.72,149.61,128.55,14.86,18.83,30.15,25.53
chr9,91887397,91887797,401,*,5.91339671372437,6.54845106641657,3.36128786310288,2.71852604212291,2.65615646305722e-12,5.99638705062866e-08,31.93,184.56,63.44,98.83,89.35,93.49,7.93,8.47,12.69,12.01
chr5,136001514,136001914,401,*,8.20603546214261,8.67159587349377,6.98414154833164,1.53237777577499,6.70922791730916e-12,1.08518578705623e-07,484.5,315.33,434.2,453.13,442.6,316.83,70.36,167.56,106.3,162.18
chr6,1263433,1263833,401,*,6.42064214204316,7.03807002582816,4.08998539527157,2.55755032774315,6.78799836597506e-12,1.08518578705623e-07,154.1,66.78,279.31,122.14,72.73,93.49,10.9,18.83,15.87,22.53
chr17,13114589,13114989,401,*,7.38218541184839,7.81888263356576,6.29214039035121,1.36819682119853,6.86704752990756e-12,1.08518578705623e-07,198.52,233.72,282.6,202.32,187.02,250.61,58.47,85.66,105.51,63.82
chr1,230851309,230851709,401,*,7.37897885150474,7.81714413884708,6.28257158799494,1.36587225332003,8.63527505810385e-12,1.2405593153473e-07,277.65,153.03,196.91,198.59,224.42,302.54,73.33,80.01,76.95,81.09
chr14,88904823,88905223,401,*,5.3795364985284,5.97333199441172,3.29750723472647,2.36475076175369,2.14069698231503e-11,2.70058805451636e-07,41.65,57.5,60.15,63.4,68.57,85.7,4.95,19.77,6.35,8.26
chr20,47189018,47189418,401,*,5.63915525663564,6.25425071360264,3.3352273960274,2.50978484711313,2.32294936447054e-11,2.70058805451636e-07,59.7,68.63,88.98,96.03,60.26,84.4,0,14.12,13.49,12.76
chr6,18226540,18226940,401,*,8.16495278106174,8.56472567655838,7.22444561622017,1.1607378939106,2.49252063788953e-11,2.70058805451636e-07,342.9,370.05,379.82,368.28,444.68,366.17,92.16,205.21,149.14,151.67
chr6,169190184,169190584,401,*,8.36291914487438,8.79017352309516,7.31299003900983,1.30668120666738,2.56339514628707e-11,2.70058805451636e-07,377.61,485.06,445.73,565.01,265.98,516.79,163.51,196.74,116.61,159.18
chr12,68365243,68365643,401,*,8.81965581694546,9.17737656286046,8.02854808987427,0.994906516139772,3.63475065772428e-11,3.58995235586783e-07,671.92,473,539.66,710.46,473.77,605.09,295.32,291.81,253.86,203.48
chr4,9152506,9152906,401,*,9.318443175484,9.66018562136917,8.57924113020972,0.938437596729526,4.45184873363642e-11,4.13833383340645e-07,834.34,745.67,756.35,879.22,679.49,959.57,375.59,436.78,444.25,273.31
chr2,11213255,11213655,401,*,6.15902183793659,6.76173619303206,3.98858574757832,2.41355585309093,4.87602672765422e-11,4.28082639843189e-07,102.73,131.7,62.62,167.82,60.26,125.95,20.81,8.47,7.93,26.28
chr17_GL000205v2_random,88828,89228,401,*,9.81619390652428,10.1663994244187,9.04980392655521,0.964690763148269,5.24756248372751e-11,4.36453581146575e-07,884.32,1302.14,936.78,1393.88,1282.09,1095.91,610.45,603.39,473.6,432.49
chr17,29040287,29040687,401,*,8.37501159573973,8.82121474727238,7.24314579772443,1.39410759818077,8.34551474181577e-11,6.59412501809831e-07,458.13,379.33,360.87,619.09,371.95,524.58,103.06,233.45,138.83,130.65
chr1,155983482,155983882,401,*,9.114962949625,9.44810934486127,8.40270305373216,0.903043380123017,1.55315427326488e-10,1.16877077855001e-06,687.19,768.86,567.67,748.69,662.86,755.71,308.2,455.6,303.83,286.07
chr16,48317583,48317983,401,*,7.13766403636851,7.58350164053283,6.0074342248953,1.37472619590956,2.16133059858226e-10,1.48549110554473e-06,149.93,207.75,167.25,211.65,218.18,196.07,37.66,90.37,72.98,56.31
chr17,10338000,10338400,401,*,6.854395185543,7.42070953076367,5.0121951351835,2.12988126602834,2.16204061479793e-10,1.48549110554473e-06,249.89,191.05,135.95,145.45,205.72,99.98,13.87,48.01,49.18,18.02
chr6,159646736,159647136,401,*,6.13112685969543,6.64513520576947,4.649084357104,1.80217399777597,3.40619784226144e-10,2.20475429374126e-06,101.34,151.17,102.99,108.15,70.65,66.22,25.77,31.06,27.77,15.77
chr2,189217563,189217963,401,*,6.20173826034744,6.83070966190378,3.73026534218934,2.57004798369809,3.48791716300475e-10,2.20475429374126e-06,201.3,186.42,42.02,52.21,89.35,111.67,5.95,16,20.63,10.51
chr1,245742844,245743244,401,*,7.18588137618314,7.68633953167691,5.78236197077462,1.69867797828742,4.23384470804343e-10,2.57333081354879e-06,161.04,219.81,201.86,232.16,201.56,219.44,22.79,89.43,66.64,41.3
chr9,84754539,84754939,401,*,6.46790249865584,7.00378656221297,4.84754352064488,1.91966629114604,5.77989204728697e-10,3.32313072231657e-06,127.72,107.58,93.93,172.49,199.48,68.82,40.63,32.01,23.01,19.52
chr6,43910672,43911072,401,*,6.18555783540897,6.67186991182809,4.85897324913745,1.60606682829574,5.88804896757941e-10,3.32313072231657e-06,69.41,143.75,68.38,108.15,103.9,118.16,28.74,30.12,30.94,26.28
chr21,41482151,41482551,401,*,6.59154602544549,7.18750698148445,4.48859412990842,2.31463532451023,6.1702183420851e-10,3.36230091090698e-06,98.57,242.06,82.39,230.29,101.82,119.46,5.95,27.3,32.53,24.03
chr21,44958749,44959149,401,*,7.83680664822775,8.28513477687692,6.69538544908197,1.35851244635297,1.18581287437268e-09,6.24638789704552e-06,305.42,361.71,201.03,314.21,328.32,360.98,51.53,112.96,112.65,137.41
chr4,169070196,169070596,401,*,8.28830382396538,8.65424628866949,7.46950854778703,0.992329747304036,1.3908695179289e-09,7.09020413481509e-06,438.69,498.97,308.14,496.02,347.02,328.51,197.21,181.68,190.39,139.66
chr18,10122065,10122465,401,*,7.49896570253898,7.94627660390599,6.36212833099441,1.35394913811979,1.47247213077287e-09,7.27161955880546e-06,219.34,261.54,269.42,295.56,222.34,211.65,36.67,108.25,87.26,96.86
chr11,61949548,61949948,401,*,7.33288129700884,7.73848002317018,6.37003072164665,1.14492912887354,1.72296152042156e-09,8.25079282270236e-06,237.39,209.6,148.3,285.3,178.7,222.04,99.1,81.9,64.26,85.6
chr10,21097420,21097820,401,*,6.37349497844869,6.97710095943788,4.19388423188,2.35064514379053,1.82939281241978e-09,8.50280256944332e-06,38.87,231.86,77.45,195.8,97.66,114.27,24.77,14.12,23.8,10.51
chr5,149397516,149397916,401,*,7.91959568155048,8.35797070587936,6.82227664352649,1.29330400504869,2.69503534152246e-09,1.21683155700032e-05,310.97,364.49,214.22,452.19,313.77,312.93,63.42,150.61,109.48,129.15
chr12,26287601,26288001,401,*,5.85241127583558,6.46336447866041,3.59466289223627,2.39051952501325,2.81418772351039e-09,1.23533460436361e-05,59.7,144.68,62.62,78.32,27.01,157.12,12.88,14.12,5.55,15.77
chr3,99708109,99708509,401,*,7.86467017093958,8.39047442306114,6.30995642147105,1.81706011823039,3.09181866570008e-09,1.32052410838717e-05,359.56,452.6,205.98,370.15,330.39,294.75,20.81,119.55,94.4,82.59
chr14,23694559,23694959,401,*,6.17494158462319,6.68189752273274,4.73439242868803,1.69407646708574,3.35782454598945e-09,1.39639551935164e-05,83.3,140.97,97.22,120.27,66.49,107.77,14.86,22.59,26.97,42.05
chr2,99278793,99279193,401,*,7.44061283181922,7.78137276633363,6.70452400083869,0.902673122423642,3.8503419327955e-09,1.56015855116874e-05,206.85,193.84,256.24,249.87,222.34,190.88,95.14,129.9,96.78,95.36
chr12,76630509,76630909,401,*,6.90326405816399,7.54222111884817,4.29675010399948,2.57140693050431,4.13017058455533e-09,1.59984817253908e-05,58.31,185.49,103.81,220.97,101.82,447.97,6.94,12.24,44.42,15.02
chr12,106030451,106030851,401,*,8.57297380962464,8.87274095626216,7.9594126837838,0.787973409035851,4.15076917217849e-09,1.59984817253908e-05,376.22,530.5,477.87,471.77,382.34,573.92,249.73,266.4,232.44,247.03
chr14,53999105,53999505,401,*,6.76960984359629,7.31605660362504,5.07656583745399,1.94710392240917,4.41571321681501e-09,1.66144363863534e-05,131.88,70.49,182.08,140.79,141.3,289.56,36.67,51.77,27.77,18.77
chr7,70630952,70631352,401,*,6.62495863750857,7.22422256095899,4.48943508805737,2.27959284663816,5.19798399846246e-09,1.91029538443959e-05,188.8,113.15,74.98,191.13,226.5,102.58,16.85,13.18,51.56,8.26
chr4,41256664,41257064,401,*,7.28979762697447,7.70658229103652,6.28278773174906,1.17563384668965,5.82225114073531e-09,2.06014190557052e-05,144.38,210.53,182.08,302.08,176.63,237.62,76.31,70.6,99.96,64.57
chr2,100958003,100958403,401,*,8.37043089117256,8.6873733957247,7.70721320951199,0.831701726336537,5.8664531444221e-09,2.06014190557052e-05,344.29,429.41,402.07,489.49,382.34,425.9,199.19,272.99,174.53,189.21
chr18,45244947,45245347,401,*,6.76144065633096,7.1978070060233,5.67282479726406,1.27134723411429,6.36086337636181e-09,2.17652136040853e-05,169.37,92.75,213.39,152.91,132.99,119.46,54.5,49.89,52.36,47.3
chr1,222042155,222042555,401,*,8.02091587245309,8.4647518507495,6.89960418461048,1.30704241623268,6.47331510486755e-09,2.17652136040853e-05,370.67,360.78,295.78,505.34,357.41,229.83,73.33,177.91,132.48,93.86
chr5,34640192,34640592,401,*,7.19598828506124,7.65812281895132,5.99053223641485,1.41356899001162,6.8565512492312e-09,2.25734808502814e-05,198.52,202.18,322.15,177.15,160,151.92,44.59,96.02,48.39,65.32
chr2,196479362,196479762,401,*,8.26864457555393,8.56717913141953,7.65855993582162,0.776050070696393,7.75045930035324e-09,2.49957057615556e-05,410.92,388.6,296.61,388.79,405.2,385.65,197.21,231.57,214.98,164.44
chr8,128428050,128428450,401,*,7.28369583092471,7.62030510045855,6.56066214359437,0.88084602486028,8.08517777026179e-09,2.55536894535786e-05,173.53,248.56,171.37,207.92,197.4,181.79,83.24,101.66,92.82,99.86
chr6,169073249,169073649,401,*,8.10990452480003,8.68658559281143,6.18237295602368,2.11632827788799,8.71265306810739e-09,2.6637577657711e-05,742.72,179.93,298.26,510,411.43,329.81,19.82,97.9,43.63,129.15
chr21,26177271,26177671,401,*,6.85002130352299,7.33635638212368,5.52331548497224,1.5527148656477,8.76524437568641e-09,2.6637577657711e-05,105.51,219.81,148.3,175.28,135.07,185.68,29.73,79.07,43.63,31.54
