#Name (cmd = mergePeaks /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/up_strict/bg.clean.pos /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/up_strict/target.clean..pos -d 500 -cobound 1 -prefix /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/up_strict/0.839103611958311.2.tmp)	chr	start	end	strand	stat	stat2	/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/up_strict/target.clean..pos
BG10	chr9	91887398	91887797	+	0.000	0.000	9
BG11	chr19	14283882	14284281	+	0.000	0.000	10
BG12	chr2	71834122	71834521	+	0.000	0.000	11
BG13	chr6	55040108	55040507	+	0.000	0.000	12
BG16	chr7	70630953	70631352	+	0.000	0.000	13
BG17	chr17	10338001	10338400	+	0.000	0.000	14
BG19	chr8	132840446	132840845	+	0.000	0.000	15
BG20	chr11	120055643	120056042	+	0.000	0.000	16
BG21	chr2	11213256	11213655	+	0.000	0.000	17
BG22	chr5	34640193	34640592	+	0.000	0.000	18
BG25	chr6	159451084	159451483	+	0.000	0.000	19
BG26	chr6	169073250	169073649	+	0.000	0.000	20
BG27	chr14	86296168	86296567	+	0.000	0.000	21
BG28	chr5	136001515	136001914	+	0.000	0.000	22
BG33	chr20	16260927	16261326	+	0.000	0.000	23
BG34	chr9	108217558	108217957	+	0.000	0.000	24
BG36	chr20	47189019	47189418	+	0.000	0.000	25
BG37	chr9	84754540	84754939	+	0.000	0.000	26
BG39	chr1	214277647	214278046	+	0.000	0.000	27
BG40	chr19	56839103	56839502	+	0.000	0.000	28
BG41	chr18	13220726	13221125	+	0.000	0.000	29
BG42	chr2	234632913	234633312	+	0.000	0.000	30
BG43	chr8	66106489	66106888	+	0.000	0.000	31
BG44	chr7	101729370	101729769	+	0.000	0.000	32
BG46	chr13	41365540	41365939	+	0.000	0.000	33
BG47	chr9	95144154	95144553	+	0.000	0.000	34
BG48	chr15	52247006	52247405	+	0.000	0.000	35
BG49	chr5	68924401	68924800	+	0.000	0.000	36
BG50	chr6	88725216	88725615	+	0.000	0.000	37
BG51	chr2	6372469	6372868	+	0.000	0.000	38
BG52	chr11	100730265	100730664	+	0.000	0.000	39
BG54	chr5	68839198	68839597	+	0.000	0.000	40
BG56	chr6	149221674	149222073	+	0.000	0.000	41
BG57	chr6	54646570	54646969	+	0.000	0.000	42
BG58	chr14	88904824	88905223	+	0.000	0.000	43
BG60	chr20	10218219	10218618	+	0.000	0.000	44
BG61	chr14	53999106	53999505	+	0.000	0.000	45
BG63	chr17	13114590	13114989	+	0.000	0.000	46
BG64	chr18	45244948	45245347	+	0.000	0.000	47
BG66	chr14	87567037	87567436	+	0.000	0.000	48
BG68	chr9	86494780	86495179	+	0.000	0.000	49
BG69	chr6	6972425	6972824	+	0.000	0.000	50
BG71	chr11	41522420	41522819	+	0.000	0.000	51
BG72	chr4	188819240	188819639	+	0.000	0.000	52
BG73	chr20	51875026	51875425	+	0.000	0.000	53
BG74	chr6	159513798	159514197	+	0.000	0.000	54
BG75	chr12	76630510	76630909	+	0.000	0.000	55
BG76	chr12	27843703	27844102	+	0.000	0.000	56
BG77	chr1	245742845	245743244	+	0.000	0.000	57
BG78	chr12	53995395	53995794	+	0.000	0.000	58
BG79	chr3	73530023	73530422	+	0.000	0.000	59
BG80	chr4	145347704	145348103	+	0.000	0.000	60
BG81	chr8	114941071	114941470	+	0.000	0.000	61
BG85	chr3	124401864	124402263	+	0.000	0.000	62
BG86	chr6	115514654	115515053	+	0.000	0.000	63
BG87	chr21	36563320	36563719	+	0.000	0.000	64
BG88	chr13	41610483	41610882	+	0.000	0.000	65
BG89	chr3	186839872	186840271	+	0.000	0.000	66
BG91	chr14	34199631	34200030	+	0.000	0.000	67
BG93	chr12	41014524	41014923	+	0.000	0.000	68
BG94	chr1	48617276	48617675	+	0.000	0.000	69
BG95	chrX	100316955	100317354	+	0.000	0.000	70
BG96	chr14	55911771	55912170	+	0.000	0.000	71
BG97	chr14	23694560	23694959	+	0.000	0.000	72
BG98	chr12	26287602	26288001	+	0.000	0.000	73
