#Name (cmd = mergePeaks /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/bg.clean.pos /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/target.clean..pos -d 500 -cobound 1 -prefix /storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/0.0138866753122819.2.tmp)	chr	start	end	strand	stat	stat2	/storage/volume01/emile/analysis/KABUKI_FIBRO_PROJECT/analysis/RNA/results/homer/all_strict/target.clean..pos
BG10	chr9	91887398	91887797	+	0.000	0.000	10
BG11	chr19	14283882	14284281	+	0.000	0.000	11
BG12	chr2	71834122	71834521	+	0.000	0.000	12
BG13	chr6	55040108	55040507	+	0.000	0.000	13
BG14	chr1	25320299	25320698	+	0.000	0.000	14
BG15	chr7	84701687	84702086	+	0.000	0.000	15
BG16	chr7	70630953	70631352	+	0.000	0.000	16
BG17	chr17	10338001	10338400	+	0.000	0.000	17
BG18	chr6	19705601	19706000	+	0.000	0.000	18
BG19	chr8	132840446	132840845	+	0.000	0.000	19
BG20	chr11	120055643	120056042	+	0.000	0.000	20
BG21	chr2	11213256	11213655	+	0.000	0.000	21
BG22	chr5	34640193	34640592	+	0.000	0.000	22
BG23	chr9	81411989	81412388	+	0.000	0.000	23
BG24	chr19	38173334	38173733	+	0.000	0.000	24
BG25	chr6	159451084	159451483	+	0.000	0.000	25
BG26	chr6	169073250	169073649	+	0.000	0.000	26
BG27	chr14	86296168	86296567	+	0.000	0.000	27
BG28	chr5	136001515	136001914	+	0.000	0.000	28
BG29	chr1	154741307	154741706	+	0.000	0.000	29
BG30	chr12	100987655	100988054	+	0.000	0.000	30
BG31	chr14	29311950	29312349	+	0.000	0.000	31
BG32	chr14	64118027	64118426	+	0.000	0.000	32
BG33	chr20	16260927	16261326	+	0.000	0.000	33
BG34	chr9	108217558	108217957	+	0.000	0.000	34
BG35	chr2	127560710	127561109	+	0.000	0.000	35
BG36	chr20	47189019	47189418	+	0.000	0.000	36
BG37	chr9	84754540	84754939	+	0.000	0.000	37
BG38	chrX	18983	19382	+	0.000	0.000	38
BG39	chr1	214277647	214278046	+	0.000	0.000	39
BG40	chr19	56839103	56839502	+	0.000	0.000	40
BG41	chr18	13220726	13221125	+	0.000	0.000	41
BG42	chr2	234632913	234633312	+	0.000	0.000	42
BG43	chr8	66106489	66106888	+	0.000	0.000	43
BG44	chr7	101729370	101729769	+	0.000	0.000	44
BG45	chr12	121918331	121918730	+	0.000	0.000	45
BG46	chr13	41365540	41365939	+	0.000	0.000	46
BG47	chr9	95144154	95144553	+	0.000	0.000	47
BG48	chr15	52247006	52247405	+	0.000	0.000	48
BG49	chr5	68924401	68924800	+	0.000	0.000	49
BG50	chr6	88725216	88725615	+	0.000	0.000	50
BG51	chr2	6372469	6372868	+	0.000	0.000	51
BG52	chr11	100730265	100730664	+	0.000	0.000	52
BG53	chr3	69033478	69033877	+	0.000	0.000	53
BG54	chr5	68839198	68839597	+	0.000	0.000	54
BG55	chr19	8635432	8635831	+	0.000	0.000	55
BG56	chr6	149221674	149222073	+	0.000	0.000	56
BG57	chr6	54646570	54646969	+	0.000	0.000	57
BG58	chr14	88904824	88905223	+	0.000	0.000	58
BG59	chr7	136953410	136953809	+	0.000	0.000	59
BG60	chr20	10218219	10218618	+	0.000	0.000	60
BG61	chr14	53999106	53999505	+	0.000	0.000	61
BG62	chr14	74299008	74299407	+	0.000	0.000	62
BG63	chr17	13114590	13114989	+	0.000	0.000	63
BG64	chr18	45244948	45245347	+	0.000	0.000	64
BG65	chr17	32569566	32569965	+	0.000	0.000	65
BG66	chr14	87567037	87567436	+	0.000	0.000	66
BG67	chr1	25267790	25268189	+	0.000	0.000	67
BG68	chr9	86494780	86495179	+	0.000	0.000	68
BG69	chr6	6972425	6972824	+	0.000	0.000	69
BG70	chr12	76274795	76275194	+	0.000	0.000	70
BG71	chr11	41522420	41522819	+	0.000	0.000	71
BG72	chr4	188819240	188819639	+	0.000	0.000	72
BG73	chr20	51875026	51875425	+	0.000	0.000	73
BG74	chr6	159513798	159514197	+	0.000	0.000	74
BG75	chr12	76630510	76630909	+	0.000	0.000	75
BG76	chr12	27843703	27844102	+	0.000	0.000	76
BG77	chr1	245742845	245743244	+	0.000	0.000	77
BG78	chr12	53995395	53995794	+	0.000	0.000	78
BG79	chr3	73530023	73530422	+	0.000	0.000	79
BG80	chr4	145347704	145348103	+	0.000	0.000	80
BG81	chr8	114941071	114941470	+	0.000	0.000	81
BG82	chr8	121464352	121464751	+	0.000	0.000	82
BG83	chr10	77989069	77989468	+	0.000	0.000	83
BG84	chr15	97993232	97993631	+	0.000	0.000	84
BG85	chr3	124401864	124402263	+	0.000	0.000	85
BG86	chr6	115514654	115515053	+	0.000	0.000	86
BG87	chr21	36563320	36563719	+	0.000	0.000	87
BG88	chr13	41610483	41610882	+	0.000	0.000	88
BG89	chr3	186839872	186840271	+	0.000	0.000	89
BG90	chr2	167192816	167193215	+	0.000	0.000	90
BG91	chr14	34199631	34200030	+	0.000	0.000	91
BG92	chr4	14096508	14096907	+	0.000	0.000	92
BG93	chr12	41014524	41014923	+	0.000	0.000	93
BG94	chr1	48617276	48617675	+	0.000	0.000	94
BG95	chrX	100316955	100317354	+	0.000	0.000	95
BG96	chr14	55911771	55912170	+	0.000	0.000	96
BG97	chr14	23694560	23694959	+	0.000	0.000	97
BG98	chr12	26287602	26288001	+	0.000	0.000	98
BG99	chr17	6677382	6677781	+	0.000	0.000	99
BG100	chr21	41482152	41482551	+	0.000	0.000	100
BG101	chr14	87628141	87628540	+	0.000	0.000	101
BG102	chr5	113147081	113147480	+	0.000	0.000	102
BG103	chr10	77321063	77321462	+	0.000	0.000	103
BG104	chr11	120197471	120197870	+	0.000	0.000	104
BG106	chr3	38404330	38404729	+	0.000	0.000	105
BG107	chr6	11492806	11493205	+	0.000	0.000	106
BG108	chr8	23991513	23991912	+	0.000	0.000	107
BG109	chr3	130594757	130595156	+	0.000	0.000	108
BG110	chr1	177441318	177441717	+	0.000	0.000	109
BG111	chr6	159646737	159647136	+	0.000	0.000	110
BG112	chr10	109430111	109430510	+	0.000	0.000	111
BG113	chr12	105724853	105725252	+	0.000	0.000	112
BG114	chr12	115599310	115599709	+	0.000	0.000	113
BG115	chr18	10122066	10122465	+	0.000	0.000	114
BG116	chr7	95095873	95096272	+	0.000	0.000	115
BG117	chr12	43151428	43151827	+	0.000	0.000	116
BG118	chr2	46799244	46799643	+	0.000	0.000	117
BG119	chr1	156801444	156801843	+	0.000	0.000	118
BG120	chr11	131760141	131760540	+	0.000	0.000	119
BG121	chr12	124545477	124545876	+	0.000	0.000	120
BG122	chr21	41485934	41486333	+	0.000	0.000	121
BG123	chr22	30302078	30302477	+	0.000	0.000	122
BG124	chr4	144820054	144820453	+	0.000	0.000	123
BG125	chr17	1197341	1197740	+	0.000	0.000	124
BG126	chr2	189217564	189217963	+	0.000	0.000	125
BG127	chr4	17165254	17165653	+	0.000	0.000	126
BG128	chr21	33314138	33314537	+	0.000	0.000	127
BG129	chr21	41786502	41786901	+	0.000	0.000	128
BG130	chr6	159461243	159461642	+	0.000	0.000	129
BG131	chr10	49037238	49037637	+	0.000	0.000	130
BG132	chr8	73346424	73346823	+	0.000	0.000	131
